,episode,make_span,reward,min
0,0.0,49.0,-48.999999999999986,49.0
1,1.0,49.0,-48.99999999999999,49.0
2,2.0,54.0,-53.99999999999999,49.0
3,3.0,54.0,-54.000000000000014,49.0
4,4.0,60.0,-60.00000000000001,49.0
5,5.0,55.0,-54.99999999999999,49.0
6,6.0,60.0,-59.99999999999999,49.0
7,7.0,48.0,-47.99999999999999,48.0
8,8.0,54.0,-54.0,48.0
9,9.0,46.0,-45.99999999999999,46.0
10,10.0,55.0,-54.99999999999999,46.0
11,11.0,44.0,-44.0,44.0
12,12.0,54.0,-54.0,44.0
13,13.0,48.0,-48.00000000000001,44.0
14,14.0,54.0,-54.00000000000001,44.0
15,15.0,48.0,-48.00000000000001,44.0
16,16.0,48.0,-48.000000000000014,44.0
17,17.0,50.0,-49.99999999999999,44.0
18,18.0,50.0,-50.0,44.0
19,19.0,49.0,-49.00000000000001,44.0
20,20.0,51.0,-50.99999999999999,44.0
21,21.0,50.0,-50.00000000000001,44.0
22,22.0,50.0,-50.00000000000001,44.0
23,23.0,51.0,-51.0,44.0
24,24.0,55.0,-55.0,44.0
25,25.0,60.0,-59.99999999999999,44.0
26,26.0,51.0,-50.99999999999999,44.0
27,27.0,51.0,-51.0,44.0
28,28.0,56.0,-56.0,44.0
29,29.0,48.0,-48.0,44.0
30,30.0,50.0,-50.000000000000014,44.0
31,31.0,47.0,-47.00000000000001,44.0
32,32.0,48.0,-48.000000000000014,44.0
33,33.0,48.0,-48.0,44.0
34,34.0,57.0,-56.99999999999999,44.0
35,35.0,48.0,-47.99999999999999,44.0
36,36.0,48.0,-48.0,44.0
37,37.0,54.0,-54.0,44.0
38,38.0,47.0,-47.0,44.0
39,39.0,55.0,-55.0,44.0
40,40.0,51.0,-51.0,44.0
41,41.0,49.0,-49.0,44.0
42,42.0,49.0,-49.0,44.0
43,43.0,50.0,-50.00000000000001,44.0
44,44.0,50.0,-50.0,44.0
45,45.0,48.0,-48.0,44.0
46,46.0,48.0,-48.0,44.0
47,47.0,48.0,-48.00000000000001,44.0
48,48.0,48.0,-48.00000000000001,44.0
49,49.0,47.0,-47.00000000000001,44.0
50,50.0,50.0,-50.00000000000001,44.0
51,51.0,48.0,-48.00000000000001,44.0
52,52.0,54.0,-54.000000000000014,44.0
53,53.0,48.0,-48.000000000000014,44.0
54,54.0,51.0,-51.0,44.0
55,55.0,48.0,-48.000000000000014,44.0
56,56.0,49.0,-49.0,44.0
57,57.0,50.0,-50.0,44.0
58,58.0,53.0,-53.0,44.0
59,59.0,55.0,-55.0,44.0
60,60.0,44.0,-44.0,44.0
61,61.0,52.0,-52.00000000000001,44.0
62,62.0,58.0,-58.0,44.0
63,63.0,49.0,-49.00000000000001,44.0
64,64.0,46.0,-46.0,44.0
65,65.0,48.0,-48.000000000000014,44.0
66,66.0,48.0,-48.0,44.0
67,67.0,49.0,-49.0,44.0
68,68.0,55.0,-55.00000000000001,44.0
69,69.0,52.0,-52.00000000000001,44.0
70,70.0,51.0,-51.00000000000001,44.0
71,71.0,44.0,-44.00000000000001,44.0
72,72.0,49.0,-49.000000000000014,44.0
73,73.0,52.0,-52.00000000000001,44.0
74,74.0,64.0,-64.0,44.0
75,75.0,54.0,-54.00000000000001,44.0
76,76.0,49.0,-49.0,44.0
77,77.0,49.0,-49.000000000000014,44.0
78,78.0,43.0,-43.00000000000001,43.0
79,79.0,60.0,-60.000000000000014,43.0
80,80.0,48.0,-48.000000000000014,43.0
81,81.0,48.0,-48.0,43.0
82,82.0,48.0,-48.0,43.0
83,83.0,55.0,-55.00000000000001,43.0
84,84.0,54.0,-54.0,43.0
85,85.0,51.0,-51.00000000000001,43.0
86,86.0,51.0,-51.0,43.0
87,87.0,54.0,-54.00000000000001,43.0
88,88.0,52.0,-52.0,43.0
89,89.0,49.0,-49.0,43.0
90,90.0,58.0,-58.00000000000001,43.0
91,91.0,48.0,-48.0,43.0
92,92.0,58.0,-58.0,43.0
93,93.0,44.0,-43.999999999999986,43.0
94,94.0,48.0,-48.0,43.0
95,95.0,55.0,-55.0,43.0
96,96.0,55.0,-55.0,43.0
97,97.0,49.0,-49.0,43.0
98,98.0,53.0,-53.0,43.0
99,99.0,50.0,-49.99999999999999,43.0
100,100.0,50.0,-50.00000000000001,43.0
101,101.0,55.0,-55.0,43.0
102,102.0,48.0,-48.000000000000014,43.0
103,103.0,50.0,-50.00000000000001,43.0
104,104.0,50.0,-50.0,43.0
105,105.0,49.0,-49.000000000000014,43.0
106,106.0,50.0,-50.0,43.0
107,107.0,51.0,-51.00000000000001,43.0
108,108.0,60.0,-60.00000000000001,43.0
109,109.0,50.0,-50.0,43.0
110,110.0,50.0,-50.0,43.0
111,111.0,50.0,-50.0,43.0
112,112.0,52.0,-52.00000000000001,43.0
113,113.0,50.0,-50.0,43.0
114,114.0,52.0,-52.00000000000001,43.0
115,115.0,54.0,-54.0,43.0
116,116.0,53.0,-53.0,43.0
117,117.0,52.0,-52.00000000000001,43.0
118,118.0,46.0,-46.0,43.0
119,119.0,50.0,-50.00000000000001,43.0
120,120.0,51.0,-51.0,43.0
121,121.0,47.0,-46.99999999999999,43.0
122,122.0,52.0,-52.00000000000001,43.0
123,123.0,58.0,-58.000000000000014,43.0
124,124.0,53.0,-53.0,43.0
125,125.0,49.0,-49.000000000000014,43.0
126,126.0,51.0,-50.99999999999999,43.0
127,127.0,52.0,-52.00000000000001,43.0
128,128.0,52.0,-52.00000000000001,43.0
129,129.0,52.0,-52.00000000000001,43.0
130,130.0,49.0,-48.99999999999999,43.0
131,131.0,51.0,-51.0,43.0
132,132.0,49.0,-49.0,43.0
133,133.0,51.0,-51.0,43.0
134,134.0,45.0,-45.00000000000001,43.0
135,135.0,51.0,-50.99999999999999,43.0
136,136.0,53.0,-53.00000000000001,43.0
137,137.0,55.0,-55.0,43.0
138,138.0,51.0,-51.00000000000001,43.0
139,139.0,51.0,-50.99999999999999,43.0
140,140.0,49.0,-49.0,43.0
141,141.0,49.0,-49.0,43.0
142,142.0,51.0,-51.0,43.0
143,143.0,50.0,-50.00000000000001,43.0
144,144.0,58.0,-58.0,43.0
145,145.0,51.0,-51.0,43.0
146,146.0,49.0,-49.00000000000001,43.0
147,147.0,49.0,-49.00000000000001,43.0
148,148.0,58.0,-58.000000000000014,43.0
149,149.0,50.0,-50.0,43.0
150,150.0,49.0,-49.00000000000001,43.0
151,151.0,49.0,-49.00000000000001,43.0
152,152.0,50.0,-50.00000000000001,43.0
153,153.0,49.0,-49.0,43.0
154,154.0,51.0,-51.0,43.0
155,155.0,49.0,-49.00000000000001,43.0
156,156.0,58.0,-58.0,43.0
157,157.0,50.0,-50.00000000000001,43.0
158,158.0,49.0,-49.0,43.0
159,159.0,57.0,-57.0,43.0
160,160.0,49.0,-48.99999999999999,43.0
161,161.0,50.0,-50.00000000000001,43.0
162,162.0,51.0,-50.99999999999999,43.0
163,163.0,52.0,-52.00000000000001,43.0
164,164.0,50.0,-50.00000000000001,43.0
165,165.0,50.0,-50.00000000000001,43.0
166,166.0,49.0,-49.00000000000001,43.0
167,167.0,50.0,-50.00000000000001,43.0
168,168.0,55.0,-55.0,43.0
169,169.0,49.0,-49.00000000000001,43.0
170,170.0,54.0,-54.0,43.0
171,171.0,49.0,-49.0,43.0
172,172.0,49.0,-49.0,43.0
173,173.0,52.0,-51.99999999999999,43.0
174,174.0,58.0,-57.99999999999999,43.0
175,175.0,49.0,-49.00000000000001,43.0
176,176.0,49.0,-49.00000000000001,43.0
177,177.0,53.0,-53.000000000000014,43.0
178,178.0,51.0,-51.000000000000014,43.0
179,179.0,51.0,-51.0,43.0
180,180.0,49.0,-49.00000000000001,43.0
181,181.0,53.0,-53.00000000000001,43.0
182,182.0,55.0,-55.00000000000001,43.0
183,183.0,49.0,-49.00000000000001,43.0
184,184.0,49.0,-49.00000000000001,43.0
185,185.0,50.0,-50.00000000000001,43.0
186,186.0,50.0,-50.00000000000001,43.0
187,187.0,50.0,-50.00000000000001,43.0
188,188.0,51.0,-51.00000000000001,43.0
189,189.0,53.0,-53.0,43.0
190,190.0,51.0,-51.00000000000001,43.0
191,191.0,49.0,-48.99999999999999,43.0
192,192.0,52.0,-52.00000000000001,43.0
193,193.0,51.0,-51.00000000000001,43.0
194,194.0,51.0,-51.00000000000001,43.0
195,195.0,49.0,-49.0,43.0
196,196.0,52.0,-52.00000000000001,43.0
197,197.0,48.0,-48.00000000000001,43.0
198,198.0,53.0,-53.00000000000001,43.0
199,199.0,55.0,-55.0,43.0
200,200.0,52.0,-52.000000000000014,43.0
201,201.0,50.0,-50.00000000000001,43.0
202,202.0,49.0,-49.00000000000001,43.0
203,203.0,55.0,-55.000000000000014,43.0
204,204.0,50.0,-50.00000000000001,43.0
205,205.0,49.0,-48.99999999999999,43.0
206,206.0,53.0,-53.00000000000001,43.0
207,207.0,53.0,-53.0,43.0
208,208.0,53.0,-53.0,43.0
209,209.0,55.0,-54.99999999999999,43.0
210,210.0,55.0,-55.0,43.0
