,episode,make_span,reward,min
0,0.0,314.0,-247.8947368421052,314.0
1,1.0,338.0,-266.8421052631578,314.0
2,2.0,295.0,-232.89473684210517,295.0
3,3.0,306.0,-241.578947368421,295.0
4,4.0,280.0,-221.05263157894697,280.0
5,5.0,277.0,-218.6842105263157,277.0
6,6.0,300.0,-236.84210526315778,277.0
7,7.0,269.0,-212.3684210526315,269.0
8,8.0,287.0,-226.57894736842078,269.0
9,9.0,267.0,-210.78947368421032,267.0
10,10.0,275.0,-217.1052631578946,267.0
11,11.0,281.0,-221.8421052631576,267.0
12,12.0,279.0,-220.26315789473645,267.0
13,13.0,269.0,-212.36842105263148,267.0
14,14.0,275.0,-217.10526315789443,267.0
15,15.0,273.0,-215.52631578947359,267.0
16,16.0,280.0,-221.05263157894717,267.0
17,17.0,271.0,-213.94736842105257,267.0
18,18.0,280.0,-221.05263157894726,267.0
19,19.0,279.0,-220.26315789473676,267.0
20,20.0,279.0,-220.26315789473676,267.0
21,21.0,272.0,-214.73684210526298,267.0
22,22.0,269.0,-212.36842105263136,267.0
23,23.0,264.0,-208.4210526315788,264.0
24,24.0,266.0,-209.99999999999986,264.0
25,25.0,263.0,-207.6315789473682,263.0
26,26.0,261.0,-206.0526315789473,261.0
27,27.0,269.0,-212.36842105263142,261.0
28,28.0,272.0,-214.7368421052629,261.0
29,29.0,284.0,-224.2105263157895,261.0
30,30.0,273.0,-215.52631578947367,261.0
31,31.0,264.0,-208.4210526315788,261.0
32,32.0,262.0,-206.84210526315775,261.0
33,33.0,267.0,-210.7894736842104,261.0
34,34.0,269.0,-212.36842105263148,261.0
35,35.0,263.0,-207.6315789473682,261.0
36,36.0,274.0,-216.31578947368402,261.0
37,37.0,270.0,-213.15789473684197,261.0
38,38.0,285.0,-224.99999999999974,261.0
39,39.0,268.0,-211.57894736842084,261.0
40,40.0,265.0,-209.2105263157893,261.0
41,41.0,263.0,-207.63157894736835,261.0
42,42.0,285.0,-224.99999999999972,261.0
43,43.0,282.0,-222.63157894736833,261.0
44,44.0,287.0,-226.57894736842098,261.0
45,45.0,269.0,-212.3684210526314,261.0
46,46.0,260.0,-205.26315789473668,260.0
47,47.0,274.0,-216.31578947368413,260.0
48,48.0,284.0,-224.21052631578945,260.0
49,49.0,271.0,-213.94736842105257,260.0
50,50.0,268.0,-211.57894736842096,260.0
51,51.0,273.0,-215.52631578947359,260.0
52,52.0,269.0,-212.36842105263148,260.0
53,53.0,267.0,-210.7894736842102,260.0
54,54.0,267.0,-210.78947368421035,260.0
55,55.0,259.0,-204.4736842105262,259.0
56,56.0,270.0,-213.15789473684214,259.0
57,57.0,270.0,-213.15789473684188,259.0
58,58.0,260.0,-205.26315789473674,259.0
59,59.0,267.0,-210.78947368421046,259.0
60,60.0,259.0,-204.47368421052627,259.0
61,61.0,266.0,-209.99999999999994,259.0
62,62.0,282.0,-222.6315789473682,259.0
63,63.0,271.0,-213.94736842105254,259.0
64,64.0,272.0,-214.7368421052629,259.0
65,65.0,265.0,-209.21052631578937,259.0
66,66.0,274.0,-216.315789473684,259.0
67,67.0,266.0,-209.9999999999999,259.0
68,68.0,268.0,-211.57894736842098,259.0
69,69.0,274.0,-216.31578947368405,259.0
