,episode,make_span,reward,min make span
0,0.0,197.0,-197.0,197.0
1,0.0,195.0,-195.0,195.0
2,0.0,200.0,-200.0,195.0
3,1.0,200.0,-200.0,195.0
4,1.0,201.0,-201.0,195.0
5,1.0,206.0,-206.0,195.0
6,2.0,193.0,-193.0,193.0
7,2.0,205.0,-205.0,193.0
8,2.0,185.0,-185.0,185.0
9,3.0,188.0,-188.0,185.0
10,3.0,210.0,-210.0,185.0
11,3.0,195.0,-195.0,185.0
12,4.0,187.0,-187.0,185.0
13,4.0,197.0,-197.0,185.0
14,4.0,191.0,-191.0,185.0
15,5.0,213.0,-213.0,185.0
16,5.0,188.0,-188.0,185.0
17,5.0,198.0,-198.0,185.0
18,6.0,185.0,-185.0,185.0
19,6.0,199.0,-199.0,185.0
20,6.0,189.0,-189.0,185.0
21,7.0,185.0,-185.0,185.0
22,7.0,189.0,-189.0,185.0
23,7.0,189.0,-189.0,185.0
24,8.0,197.0,-197.0,185.0
25,8.0,192.0,-192.0,185.0
26,8.0,185.0,-185.0,185.0
27,9.0,199.0,-199.0,185.0
28,9.0,193.0,-193.0,185.0
29,9.0,190.0,-190.0,185.0
30,10.0,198.0,-198.0,185.0
31,10.0,210.0,-210.0,185.0
32,10.0,200.0,-200.0,185.0
33,11.0,193.0,-193.0,185.0
34,11.0,188.0,-188.0,185.0
35,11.0,185.0,-185.0,185.0
36,12.0,184.0,-184.0,184.0
37,12.0,192.0,-192.0,184.0
38,12.0,203.0,-203.0,184.0
39,13.0,190.0,-190.0,184.0
40,13.0,189.0,-189.0,184.0
41,13.0,189.0,-189.0,184.0
42,14.0,194.0,-194.0,184.0
43,14.0,190.0,-190.0,184.0
44,14.0,191.0,-191.0,184.0
45,15.0,191.0,-191.0,184.0
46,15.0,195.0,-195.0,184.0
47,15.0,198.0,-198.0,184.0
48,16.0,193.0,-193.0,184.0
49,16.0,183.0,-183.0,183.0
50,16.0,189.0,-189.0,183.0
51,17.0,198.0,-198.0,183.0
52,17.0,199.0,-199.0,183.0
53,17.0,189.0,-189.0,183.0
54,18.0,189.0,-189.0,183.0
55,18.0,190.0,-190.0,183.0
56,18.0,183.0,-183.0,183.0
57,19.0,189.0,-189.0,183.0
58,19.0,183.0,-183.0,183.0
59,19.0,193.0,-193.0,183.0
60,20.0,189.0,-189.0,183.0
61,20.0,193.0,-193.0,183.0
62,20.0,194.0,-194.0,183.0
63,21.0,191.0,-191.0,183.0
64,21.0,187.0,-187.0,183.0
65,21.0,191.0,-191.0,183.0
66,22.0,188.0,-188.0,183.0
67,22.0,187.0,-187.0,183.0
68,22.0,194.0,-194.0,183.0
69,23.0,192.0,-192.0,183.0
70,23.0,198.0,-198.0,183.0
71,23.0,195.0,-195.0,183.0
72,24.0,197.0,-197.0,183.0
73,24.0,196.0,-196.0,183.0
74,24.0,191.0,-191.0,183.0
75,25.0,190.0,-190.0,183.0
