,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
la01,712,688,957,778,642,782
la02,837,767,838,775,789,775
la03,684,657,729,632,657,697
la04,668,719,784,673,686,680
la05,581,568,606,530,587,524
la06,1226,968,1060,968,926,938
la07,844,968,959,927,870,977
la08,1021,906,966,961,893,935
la09,1028,1035,1068,1005,933,1062
la10,978,937,998,929,937,927
la11,1373,1212,1424,1252,1229,1271
la12,1111,1010,1235,1013,1001,1036
la13,1314,1236,1210,1127,1154,1188
la14,1394,1167,1348,1163,1163,1193
la15,1213,1285,1391,1366,1366,1359
la16,1085,1053,1220,1143,1038,1170
la17,966,781,875,794,813,883
la18,987,916,971,949,902,1049
la19,972,950,1003,1065,963,964
la20,975,947,1191,1172,982,1102
la21,1432,1209,1356,1274,1222,1286
la22,1243,1016,1268,1098,1017,1160
la23,1235,1144,1390,1129,1171,1117
la24,1102,1129,1402,1089,1092,1118
la25,1259,1127,1287,1097,1119,1224
la26,1498,1385,1590,1276,1283,1474
la27,1676,1416,1908,1455,1331,1565
la28,1441,1441,1524,1411,1365,1414
la29,1538,1389,1648,1305,1294,1418
la30,1626,1481,1698,1475,1398,1490
la31,1990,1838,2030,1823,1738,1859
la32,2313,1920,2238,1886,1995,2037
la33,2082,1788,2127,1723,1728,1841
la34,1918,1882,2116,1883,1811,1879
la35,2135,1995,2309,2044,1901,2080
la36,1671,1362,1514,1464,1362,1458
la37,1809,1566,1639,1704,1606,1646
la38,1508,1324,1446,1426,1341,1442
la39,1559,1399,1602,1459,1377,1492
la40,1260,1336,1510,1420,1361,1390
