,episode,make_span,reward,min make span
0,0.0,536.0,-282.1052631578945,536.0
1,0.0,547.0,-287.8947368421052,536.0
2,0.0,523.0,-275.2631578947368,523.0
3,0.0,523.0,-275.2631578947368,523.0
4,0.0,529.0,-278.42105263157873,523.0
5,0.0,523.0,-275.26315789473665,523.0
6,0.0,523.0,-275.2631578947368,523.0
7,0.0,527.0,-277.36842105263156,523.0
8,0.0,523.0,-275.26315789473665,523.0
9,1.0,523.0,-275.2631578947367,523.0
10,1.0,534.0,-281.05263157894734,523.0
11,1.0,523.0,-275.2631578947369,523.0
12,1.0,529.0,-278.4210526315789,523.0
13,1.0,543.0,-285.78947368421046,523.0
14,1.0,561.0,-295.2631578947368,523.0
15,1.0,533.0,-280.5263157894737,523.0
16,1.0,523.0,-275.2631578947367,523.0
17,1.0,523.0,-275.2631578947368,523.0
18,2.0,524.0,-275.7894736842105,523.0
19,2.0,523.0,-275.26315789473676,523.0
20,2.0,523.0,-275.2631578947367,523.0
21,2.0,524.0,-275.7894736842106,523.0
22,2.0,536.0,-282.10526315789474,523.0
23,2.0,523.0,-275.26315789473665,523.0
24,2.0,527.0,-277.3684210526316,523.0
25,2.0,523.0,-275.26315789473676,523.0
26,2.0,523.0,-275.2631578947368,523.0
27,3.0,535.0,-281.5789473684211,523.0
28,3.0,534.0,-281.05263157894717,523.0
29,3.0,531.0,-279.47368421052624,523.0
30,3.0,529.0,-278.4210526315789,523.0
31,3.0,523.0,-275.2631578947367,523.0
32,3.0,523.0,-275.26315789473676,523.0
33,3.0,550.0,-289.47368421052613,523.0
34,3.0,523.0,-275.2631578947367,523.0
35,3.0,523.0,-275.26315789473665,523.0
36,4.0,543.0,-285.7894736842105,523.0
37,4.0,524.0,-275.7894736842105,523.0
38,4.0,529.0,-278.4210526315789,523.0
39,4.0,534.0,-281.0526315789473,523.0
40,4.0,523.0,-275.2631578947368,523.0
41,4.0,524.0,-275.7894736842104,523.0
42,4.0,534.0,-281.0526315789473,523.0
43,4.0,523.0,-275.2631578947369,523.0
44,4.0,532.0,-280.0000000000003,523.0
45,5.0,525.0,-276.31578947368405,523.0
46,5.0,541.0,-284.7368421052631,523.0
47,5.0,543.0,-285.7894736842103,523.0
48,5.0,533.0,-280.52631578947353,523.0
49,5.0,538.0,-283.15789473684185,523.0
50,5.0,534.0,-281.0526315789471,523.0
51,5.0,523.0,-275.26315789473665,523.0
52,5.0,537.0,-282.6315789473684,523.0
53,5.0,550.0,-289.4736842105262,523.0
54,6.0,524.0,-275.7894736842104,523.0
55,6.0,523.0,-275.2631578947369,523.0
56,6.0,537.0,-282.63157894736844,523.0
57,6.0,552.0,-290.52631578947376,523.0
58,6.0,547.0,-287.89473684210515,523.0
59,6.0,529.0,-278.4210526315789,523.0
60,6.0,538.0,-283.1578947368421,523.0
61,6.0,547.0,-287.8947368421053,523.0
62,6.0,529.0,-278.4210526315788,523.0
63,7.0,524.0,-275.7894736842105,523.0
64,7.0,543.0,-285.7894736842106,523.0
65,7.0,529.0,-278.42105263157873,523.0
66,7.0,547.0,-287.8947368421053,523.0
67,7.0,524.0,-275.7894736842104,523.0
68,7.0,542.0,-285.26315789473676,523.0
69,7.0,529.0,-278.42105263157896,523.0
70,7.0,527.0,-277.3684210526316,523.0
71,7.0,533.0,-280.52631578947364,523.0
72,8.0,532.0,-279.9999999999999,523.0
73,8.0,538.0,-283.157894736842,523.0
74,8.0,523.0,-275.26315789473676,523.0
75,8.0,523.0,-275.26315789473676,523.0
76,8.0,532.0,-280.0000000000001,523.0
77,8.0,550.0,-289.4736842105262,523.0
