,episode,make_span,reward,min make span
0,0.0,731.0,-74.59183673469387,731.0
1,0.0,762.0,-77.75510204081637,731.0
2,0.0,732.0,-74.69387755102039,731.0
3,0.0,737.0,-75.20408163265303,731.0
4,0.0,766.0,-78.16326530612245,731.0
5,0.0,827.0,-84.38775510204083,731.0
6,0.0,798.0,-81.42857142857144,731.0
7,0.0,769.0,-78.46938775510205,731.0
8,0.0,778.0,-79.38775510204081,731.0
9,1.0,749.0,-76.42857142857142,731.0
10,1.0,744.0,-75.91836734693878,731.0
11,1.0,722.0,-73.67346938775508,722.0
12,1.0,781.0,-79.69387755102044,722.0
13,1.0,741.0,-75.61224489795919,722.0
14,1.0,836.0,-85.3061224489796,722.0
15,1.0,770.0,-78.57142857142857,722.0
16,1.0,774.0,-78.97959183673467,722.0
17,1.0,789.0,-80.51020408163265,722.0
18,2.0,739.0,-75.40816326530616,722.0
19,2.0,740.0,-75.51020408163265,722.0
20,2.0,753.0,-76.83673469387756,722.0
21,2.0,757.0,-77.24489795918369,722.0
22,2.0,813.0,-82.95918367346941,722.0
23,2.0,749.0,-76.42857142857143,722.0
24,2.0,736.0,-75.10204081632654,722.0
25,2.0,768.0,-78.36734693877553,722.0
26,2.0,790.0,-80.6122448979592,722.0
27,3.0,719.0,-73.3673469387755,719.0
28,3.0,735.0,-75.00000000000001,719.0
29,3.0,778.0,-79.38775510204083,719.0
30,3.0,779.0,-79.48979591836732,719.0
31,3.0,732.0,-74.69387755102042,719.0
32,3.0,799.0,-81.53061224489798,719.0
33,3.0,754.0,-76.93877551020411,719.0
34,3.0,728.0,-74.28571428571428,719.0
35,3.0,763.0,-77.85714285714283,719.0
36,4.0,767.0,-78.26530612244898,719.0
37,4.0,727.0,-74.18367346938776,719.0
38,4.0,812.0,-82.85714285714288,719.0
39,4.0,758.0,-77.34693877551021,719.0
40,4.0,729.0,-74.3877551020408,719.0
41,4.0,758.0,-77.3469387755102,719.0
42,4.0,774.0,-78.9795918367347,719.0
43,4.0,736.0,-75.10204081632654,719.0
44,4.0,814.0,-83.06122448979592,719.0
45,5.0,774.0,-78.97959183673473,719.0
46,5.0,733.0,-74.79591836734693,719.0
47,5.0,734.0,-74.89795918367346,719.0
48,5.0,759.0,-77.4489795918367,719.0
49,5.0,723.0,-73.77551020408163,719.0
50,5.0,800.0,-81.6326530612245,719.0
51,5.0,754.0,-76.93877551020408,719.0
52,5.0,787.0,-80.3061224489796,719.0
53,5.0,762.0,-77.75510204081633,719.0
54,6.0,727.0,-74.18367346938778,719.0
55,6.0,792.0,-80.81632653061226,719.0
56,6.0,767.0,-78.26530612244896,719.0
57,6.0,742.0,-75.71428571428572,719.0
58,6.0,770.0,-78.57142857142857,719.0
59,6.0,747.0,-76.22448979591839,719.0
60,6.0,775.0,-79.0816326530612,719.0
61,6.0,776.0,-79.18367346938777,719.0
62,6.0,751.0,-76.6326530612245,719.0
63,7.0,731.0,-74.59183673469386,719.0
64,7.0,736.0,-75.10204081632656,719.0
65,7.0,776.0,-79.18367346938777,719.0
66,7.0,740.0,-75.51020408163266,719.0
67,7.0,744.0,-75.91836734693877,719.0
68,7.0,817.0,-83.36734693877547,719.0
69,7.0,737.0,-75.20408163265303,719.0
