,episode,make_span,reward,min make span
0,0.0,529.0,-1392.1052631578941,529.0
1,0.0,546.0,-1436.842105263158,529.0
2,0.0,552.0,-1452.631578947369,529.0
3,0.0,567.0,-1492.1052631578943,529.0
4,0.0,562.0,-1478.9473684210539,529.0
5,0.0,589.0,-1550.0000000000005,529.0
6,0.0,560.0,-1473.6842105263154,529.0
7,0.0,579.0,-1523.684210526316,529.0
8,0.0,586.0,-1542.1052631578955,529.0
9,1.0,557.0,-1465.7894736842106,529.0
10,1.0,612.0,-1610.5263157894753,529.0
11,1.0,529.0,-1392.1052631578948,529.0
12,1.0,537.0,-1413.1578947368423,529.0
13,1.0,557.0,-1465.7894736842109,529.0
14,1.0,550.0,-1447.3684210526305,529.0
15,1.0,534.0,-1405.2631578947378,529.0
16,1.0,590.0,-1552.6315789473683,529.0
17,1.0,566.0,-1489.4736842105262,529.0
18,2.0,559.0,-1471.0526315789482,529.0
19,2.0,556.0,-1463.1578947368423,529.0
20,2.0,544.0,-1431.578947368422,529.0
21,2.0,602.0,-1584.2105263157898,529.0
22,2.0,541.0,-1423.6842105263163,529.0
23,2.0,578.0,-1521.0526315789477,529.0
24,2.0,546.0,-1436.8421052631575,529.0
25,2.0,560.0,-1473.6842105263154,529.0
26,2.0,547.0,-1439.473684210527,529.0
27,3.0,569.0,-1497.3684210526312,529.0
28,3.0,577.0,-1518.421052631579,529.0
29,3.0,551.0,-1449.9999999999989,529.0
30,3.0,550.0,-1447.3684210526312,529.0
31,3.0,546.0,-1436.8421052631595,529.0
32,3.0,541.0,-1423.6842105263163,529.0
33,3.0,594.0,-1563.1578947368419,529.0
34,3.0,530.0,-1394.736842105263,529.0
35,3.0,542.0,-1426.3157894736844,529.0
36,4.0,603.0,-1586.8421052631584,529.0
37,4.0,556.0,-1463.1578947368419,529.0
38,4.0,533.0,-1402.631578947368,529.0
39,4.0,547.0,-1439.4736842105265,529.0
40,4.0,553.0,-1455.2631578947367,529.0
41,4.0,580.0,-1526.3157894736837,529.0
42,4.0,578.0,-1521.0526315789477,529.0
43,4.0,568.0,-1494.7368421052633,529.0
44,4.0,539.0,-1418.4210526315787,529.0
45,5.0,618.0,-1626.3157894736842,529.0
46,5.0,541.0,-1423.6842105263158,529.0
47,5.0,544.0,-1431.5789473684208,529.0
48,5.0,523.0,-1376.3157894736842,523.0
49,5.0,540.0,-1421.0526315789475,523.0
50,5.0,584.0,-1536.842105263158,523.0
51,5.0,548.0,-1442.105263157895,523.0
52,5.0,541.0,-1423.6842105263163,523.0
53,5.0,641.0,-1686.8421052631577,523.0
54,6.0,577.0,-1518.4210526315792,523.0
55,6.0,559.0,-1471.0526315789475,523.0
56,6.0,589.0,-1550.0000000000005,523.0
57,6.0,613.0,-1613.1578947368419,523.0
58,6.0,630.0,-1657.8947368421066,523.0
59,6.0,557.0,-1465.7894736842104,523.0
60,6.0,581.0,-1528.9473684210523,523.0
61,6.0,549.0,-1444.7368421052631,523.0
62,6.0,529.0,-1392.1052631578946,523.0
63,7.0,552.0,-1452.631578947369,523.0
64,7.0,541.0,-1423.6842105263174,523.0
65,7.0,604.0,-1589.4736842105267,523.0
66,7.0,546.0,-1436.8421052631581,523.0
67,7.0,534.0,-1405.2631578947369,523.0
68,7.0,583.0,-1534.2105263157896,523.0
69,7.0,546.0,-1436.842105263158,523.0
70,7.0,557.0,-1465.7894736842106,523.0
71,7.0,650.0,-1710.5263157894751,523.0
72,8.0,533.0,-1402.6315789473686,523.0
73,8.0,554.0,-1457.8947368421059,523.0
74,8.0,523.0,-1376.3157894736846,523.0
75,8.0,537.0,-1413.1578947368419,523.0
76,8.0,598.0,-1573.684210526316,523.0
77,8.0,541.0,-1423.684210526316,523.0
78,8.0,543.0,-1428.9473684210532,523.0
79,8.0,562.0,-1478.9473684210514,523.0
80,8.0,638.0,-1678.9473684210527,523.0
81,9.0,584.0,-1536.8421052631586,523.0
82,9.0,597.0,-1571.0526315789482,523.0
83,9.0,576.0,-1515.7894736842115,523.0
84,9.0,642.0,-1689.473684210527,523.0
85,9.0,612.0,-1610.5263157894742,523.0
86,9.0,552.0,-1452.6315789473688,523.0
87,9.0,602.0,-1584.21052631579,523.0
88,9.0,598.0,-1573.6842105263167,523.0
89,9.0,541.0,-1423.6842105263158,523.0
90,10.0,542.0,-1426.315789473685,523.0
91,10.0,609.0,-1602.6315789473686,523.0
92,10.0,529.0,-1392.1052631578948,523.0
93,10.0,551.0,-1450.0000000000005,523.0
94,10.0,570.0,-1500.0000000000005,523.0
95,10.0,579.0,-1523.6842105263152,523.0
96,10.0,563.0,-1481.5789473684206,523.0
97,10.0,538.0,-1415.7894736842109,523.0
98,10.0,604.0,-1589.473684210526,523.0
99,11.0,605.0,-1592.105263157896,523.0
100,11.0,595.0,-1565.7894736842106,523.0
101,11.0,550.0,-1447.3684210526326,523.0
102,11.0,555.0,-1460.5263157894742,523.0
103,11.0,539.0,-1418.421052631578,523.0
104,11.0,588.0,-1547.3684210526314,523.0
105,11.0,568.0,-1494.7368421052643,523.0
106,11.0,570.0,-1500.0000000000007,523.0
107,11.0,615.0,-1618.421052631579,523.0
108,12.0,555.0,-1460.5263157894738,523.0
109,12.0,583.0,-1534.2105263157907,523.0
110,12.0,555.0,-1460.5263157894728,523.0
111,12.0,559.0,-1471.0526315789484,523.0
112,12.0,526.0,-1384.21052631579,523.0
113,12.0,603.0,-1586.842105263159,523.0
114,12.0,538.0,-1415.7894736842104,523.0
115,12.0,583.0,-1534.2105263157898,523.0
116,12.0,547.0,-1439.4736842105267,523.0
117,13.0,564.0,-1484.2105263157896,523.0
118,13.0,587.0,-1544.7368421052631,523.0
119,13.0,541.0,-1423.6842105263163,523.0
120,13.0,636.0,-1673.6842105263165,523.0
121,13.0,564.0,-1484.2105263157898,523.0
122,13.0,533.0,-1402.6315789473686,523.0
123,13.0,595.0,-1565.7894736842109,523.0
124,13.0,618.0,-1626.3157894736846,523.0
125,13.0,552.0,-1452.6315789473683,523.0
126,14.0,606.0,-1594.736842105263,523.0
127,14.0,539.0,-1418.4210526315796,523.0
128,14.0,594.0,-1563.1578947368423,523.0
129,14.0,613.0,-1613.1578947368428,523.0
130,14.0,585.0,-1539.4736842105274,523.0
131,14.0,546.0,-1436.8421052631588,523.0
132,14.0,615.0,-1618.42105263158,523.0
133,14.0,622.0,-1636.8421052631588,523.0
134,14.0,549.0,-1444.7368421052631,523.0
135,15.0,615.0,-1618.4210526315787,523.0
136,15.0,574.0,-1510.5263157894747,523.0
137,15.0,585.0,-1539.4736842105262,523.0
138,15.0,531.0,-1397.3684210526314,523.0
139,15.0,566.0,-1489.4736842105274,523.0
140,15.0,552.0,-1452.6315789473686,523.0
141,15.0,556.0,-1463.157894736842,523.0
142,15.0,560.0,-1473.684210526316,523.0
143,15.0,543.0,-1428.9473684210534,523.0
144,16.0,539.0,-1418.4210526315787,523.0
145,16.0,593.0,-1560.5263157894744,523.0
